Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
Which of the following statements about Kubernetes is correct?,multiple-choice,It has Self-healing capabilities,,It can scale up and scale down based on application requirements,,It supports automated scheduling,,All of the above,,,,,,4,,
Who is responsible for overseeing node availability in Kubernetes?,multiple-choice,Node Controller,,Job Controller,,Endpoint Controller,,Service Account Controller,,,,,,1,,
"In the context of container images, which term refers to a self-contained software package that includes all necessary components and dependencies to run an application?",multiple-choice,Container,,Dockerfile,,Image,,Volume,,,,,,3,,
Which Kubernetes component is responsible for maintaining the desired state of the cluster and triggering actions to reconcile any deviations?,multiple-choice,kube-controller-manager,,kube-proxy,,etcd,,kube-apiserver,,,,,,1,,
What is etcd in Kubernetes?,multiple-choice,The distributed key-value store used by Kubernetes to store cluster data,,A Container Runtime,,A Networking Plugin,,A Scheduling Algorithm,,,,,,1,,
What is the name of the lightweight Kubernetes distribution built for IoT and edge computing?,multiple-choice,K0s,,k3s,,RKE,,Minikube,,,,,,2,,
Which namespace is used by Kubernetes to create its own control plane components?,multiple-choice,Default,,kube-system,,kube-public,,kube-node-lease,,,,,,2,,
What is the command to scale a Deployment to a specific number of replicas in Kubernetes?,multiple-choice,kubectl scale deployment <deployment-name> --replicas=<number>,,kubectl set replicas <deployment-name> --count=<number>,,kubectl scale pods <deployment-name> --count=<number>,,kubectl update deployment <deployment-name> --replicas=<number>,,,,,,1,,
"When container images are being downloaded for a Pod in Kubernetes, what is the typical state of the Pod?",multiple-choice,Running,,Pending,,Succeeded,,CrashLoopBackOff,,,,,,2,,
"Which API object is recommended to run a scalable, stateless application on your cluster?",multiple-choice,ReplicaSet,,Deployment,,DaemonSet,,Pod,,,,,,2,,
Which Kubernetes feature allows resources to be divided into separate groups within a single cluster?,multiple-choice,Nodes,,Namespaces,,Pods,,Deployments,,,,,,2,,
Which of the following is not a valid service type in Kubernetes?,multiple-choice,ClusterIP,,NodePort,,LoadBalancer,,None of the above,,,,,,4,,
Which statement accurately describes Pod-to-Pod communication within the same node in Kubernetes?,multiple-choice,Pods on the same node communicate through external load balancers,,"Pods on the same node communicate directly via the node's network interface, NAT-less",,Pods within the same node cannot communicate with each other,,Pod-to-Pod communication within the same node requires specific network policies to be defined,,,,,,2,,
