Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
What role does a kubelet play in Kubernetes? ,multiple-choice,Software used to run containers outside of pods ,,A lightweight version of Kubernetes ,,A device that collects and organizes data for easy access,,A node agent that manages pods and their containers ,,,,,,4,,
Which of the below is a part of Control Plane? ,multiple-choice,kube-proxy ,,kubelet ,,coreDNS ,,cloud-controller-manager ,,,,,,4,,
What is the purpose of the Kubernetes Scheduler? ,multiple-choice,To assign Pods to nodes ,,To manage network traffic ,,To monitor Pod health ,,To store persistent data ,,,,,,1,,
What Linux feature is used to provide isolation for containers? ,multiple-choice,Processes ,,Services ,,cgroups ,,NetworkPolicy ,,,,,,3,,
which component serves as the default Domain Name System (DNS) solution for service discovery and name resolution within the Kubernetes cluster? ,multiple-choice,kube-dns ,,CoreDNS ,,DNScore ,,Route53 ,,,,,,2,,
Which of the following is not the part of Kubernetes Control Plane? ,multiple-choice,kube scheduler ,,etcd  ,,kube api-server ,,kube-proxy ,,,,,,4,,
The smallest deployable unit in Kubernetes is?,multiple-choice,Pod,,Container,,Volume,,None of the Above,,,,,,1,,
What are the default namespaces created in a typical Kubernetes installation?,multiple-choice,"kube-system, kube-public, default, kube-node-lease",,"default, kube-node, kube-service, kube-public",,"default, kube-admin, kube-infra, kube-public",,"kube-system, kube-core, kube-services, default",,,,,,1,,
Which kubectl command would you use to get detailed information about a specific pod in a Kubernetes cluster?,multiple-choice,kubectl describe pod <pod-name>,,kubectl get pod <pod-name> --details,,kubectl pod details <pod-name>,,kubectl show pod <pod-name>,,,,,,1,,
What is the command to create or update a Kubernetes object?,multiple-choice,kubectl create -f <filename.yaml>,,kubectl run <object_name>,,kubectl deploy <object_name>,,kubectl apply -f <filename.yaml>,,,,,,4,,
Which of the following methods are used to attach additional descriptive information to Kubernetes objects?,multiple-choice,Labels and Annotations,,ConfigMaps and Secrets,,ReplicaSets and Deployments,,Nodes and Pods,,,,,,1,,
How to access a container running inside a pod?,multiple-choice,kubectl exec -it test-pod ,,kubectl exec-it test-pod -f /bin/csh,,kubectl exec -it test-pod -- /bin/bash,,kubectl shell -it test-pod --/bin/sh,,,,,,3,,
What does Service refer to in Kubernetes?,multiple-choice,A way to expose an application running in Pods,,A tool for monitoring Pod health,,A type of persistent storage,,A security mechanism,,,,,,1,,
"In Kubernetes, what is the primary purpose of an Endpoint?",multiple-choice,To define the security configuration for a Service,,Endpoints in Kubernetes are used to represent the IP addresses and ports of the Pods that are backing a Service,,To manage the resource quotas of a Service,,To monitor the health of containers,,,,,,2,,
What does YAML stand for?,multiple-choice,Yet Another Modeling Language,,Yet Another Machine Language,,Yet Another Markup Language,,Yet Another Method Language,,,,,,3,,
How long should a stable API element in Kubernetes be supported (at minimum) after deprecation?,multiple-choice,2 Years,,1 Year ,,3 Years,,6 months,,,,,,2,,
"By default, in which time zone do CronJobs run in Kubernetes?",multiple-choice,UTC,,CST,,GMT,,None of the Above,,,,,,1,,
"In Kubernetes, which resource is best suited for running tasks on a scheduled, recurring basis?",multiple-choice,Jobs,,kube-proxy,,kubelet,,Cron Jobs,,,,,,4,,
What is a Kubernetes Job?,multiple-choice,Runs continuously like a Deployment,,Runs on a schedule like a CronJob,,Creates one or more Pods that perform a specific task and then terminate,,Manages persistent storage,,,,,,3,,
Which Kubernetes feature would you use to perform tasks like database migrations or configuration setup before the main container starts running?,multiple-choice,Pod Volumes,,Sidecar Containers,,Init Containers,,CronJobs,,,,,,3,,
What is a PodDisruptionBudget?,multiple-choice,Limits the resources a Pod can consume,,Limits the number of Pods that can be scheduled on a single Node,,Manages the network traffic to a Pod,,Limits the number of Pods from a Deployment that can be down simultaneously due to voluntary disruptions,,,,,,4,,
What is an Init Container in Kubernetes?,multiple-choice,A container that runs after the main containers in a Pod,,A container that runs only once before the main containers start,,A container that is used for persistent storage in a Pod,,A container that runs continuously alongside the main containers,,,,,,2,,
